"curve","year","ind","values","area_km","area_km_e","archipelago"
-80,-70000,"AP0000033",2424261340.90996,2424.26134090996,166776.173129172,"Society"
-81,-71000,"AP0000026",2427539079.77577,2427.53907977577,166776.173129172,"Society"
-83,-72000,"AP0000036",2433676844.65061,2433.67684465061,166776.173129172,"Society"
-72,-73000,"AP0000030",2401551740.98106,2401.55174098106,166776.173129172,"Society"
-48,-74000,"AP0000038",2314401474.95575,2314.40147495575,166776.173129172,"Society"
-29,-75000,"AP0000039",2188380794.32918,2188.38079432918,166776.173129172,"Society"
-20,-76000,"AP0000040",2091608385.89743,2091.60838589743,166776.173129172,"Society"
-17,-77000,"AP0000041",2061320361.1329,2061.3203611329,166776.173129172,"Society"
-15,-78000,"AP0000042",2041062267.48846,2041.06226748846,166776.173129172,"Society"
-14,-79000,"AP0000043",2029809917.46448,2029.80991746448,166776.173129172,"Society"
-13,-80000,"AP0000044",2016918284.8336,2016.9182848336,166776.173129172,"Society"
-12,-81000,"AP0000045",2005264025.44338,2005.26402544338,166776.173129172,"Society"
-12,-82000,"AP0000045",2005264025.44338,2005.26402544338,166776.173129172,"Society"
-13,-83000,"AP0000044",2016918284.8336,2016.9182848336,166776.173129172,"Society"
-15,-84000,"AP0000042",2041062267.48846,2041.06226748846,166776.173129172,"Society"
-19,-85000,"AP0000046",2081169757.85171,2081.16975785171,166776.173129172,"Society"
-26,-86000,"AP0000047",2165068903.68375,2165.06890368375,166776.173129172,"Society"
-34,-87000,"AP0000048",2221908218.81014,2221.90821881014,166776.173129172,"Society"
-43,-88000,"AP0000049",2289636993.04589,2289.63699304589,166776.173129172,"Society"
-49,-89000,"AP0000050",2317472960.46464,2317.47296046464,166776.173129172,"Society"
-52,-90000,"AP0000008",2329539465.82764,2329.53946582764,166776.173129172,"Society"
-54,-91000,"AP0000051",2336699119.67023,2336.69911967023,166776.173129172,"Society"
-55,-92000,"AP0000052",2342226742.92117,2342.22674292117,166776.173129172,"Society"
-55,-93000,"AP0000052",2342226742.92117,2342.22674292117,166776.173129172,"Society"
-56,-94000,"AP0000053",2346727914.55247,2346.72791455247,166776.173129172,"Society"
-54,-95000,"AP0000051",2336699119.67023,2336.69911967023,166776.173129172,"Society"
-46,-96000,"AP0000054",2306418343.64716,2306.41834364716,166776.173129172,"Society"
-35,-97000,"AP0000055",2231323057.09701,2231.32305709701,166776.173129172,"Society"
-24,-98000,"AP0000006",2148719080.82519,2148.71908082519,166776.173129172,"Society"
-16,-99000,"AP0000056",2053139782.54207,2053.13978254207,166776.173129172,"Society"
-12,-1e+05,"AP0000045",2005264025.44338,2005.26402544338,166776.173129172,"Society"
-10,-101000,"AP0000057",1971295327.1769,1971.2953271769,166776.173129172,"Society"
-10,-102000,"AP0000057",1971295327.1769,1971.2953271769,166776.173129172,"Society"
-9,-103000,"AP0000058",1955539652.75053,1955.53965275053,166776.173129172,"Society"
-8,-104000,"AP0000059",1944490126.83738,1944.49012683738,166776.173129172,"Society"
-10,-105000,"AP0000057",1971295327.1769,1971.2953271769,166776.173129172,"Society"
-16,-106000,"AP0000056",2053139782.54207,2053.13978254207,166776.173129172,"Society"
-26,-107000,"AP0000047",2165068903.68375,2165.06890368375,166776.173129172,"Society"
-31,-108000,"AP0000060",2202699468.57523,2202.69946857523,166776.173129172,"Society"
-33,-109000,"AP0000061",2215370441.67569,2215.37044167569,166776.173129172,"Society"
-33,-110000,"AP0000061",2215370441.67569,2215.37044167569,166776.173129172,"Society"
-32,-111000,"AP0000062",2209443866.6987,2209.4438666987,166776.173129172,"Society"
-32,-112000,"AP0000062",2209443866.6987,2209.4438666987,166776.173129172,"Society"
-27,-113000,"AP0000063",2172437660.01322,2172.43766001322,166776.173129172,"Society"
-16,-114000,"AP0000056",2053139782.54207,2053.13978254207,166776.173129172,"Society"
-6,-115000,"AP0000064",1902334902.57264,1902.33490257264,166776.173129172,"Society"
0,-116000,"AP0000000",1689493530.77622,1689.49353077622,166776.173129172,"Society"
3,-117000,"AP0000065",1676179706.98368,1676.17970698368,166776.173129172,"Society"
5,-118000,"AP0000066",1667581656.47128,1667.58165647128,166776.173129172,"Society"
7,-119000,"AP0000067",1653449357.90728,1653.44935790728,166776.173129172,"Society"
9,-120000,"AP0000068",1630748717.03153,1630.74871703153,166776.173129172,"Society"
10,-121000,"AP0000069",1620936951.19419,1620.93695119419,166776.173129172,"Society"
10,-122000,"AP0000069",1620936951.19419,1620.93695119419,166776.173129172,"Society"
10,-123000,"AP0000069",1620936951.19419,1620.93695119419,166776.173129172,"Society"
9,-124000,"AP0000068",1630748717.03153,1630.74871703153,166776.173129172,"Society"
9,-125000,"AP0000068",1630748717.03153,1630.74871703153,166776.173129172,"Society"
10,-126000,"AP0000069",1620936951.19419,1620.93695119419,166776.173129172,"Society"
12,-127000,"AP0000070",1601523019.20718,1601.52301920718,166776.173129172,"Society"
10,-128000,"AP0000069",1620936951.19419,1620.93695119419,166776.173129172,"Society"
-3,-129000,"AP0000003",1837267139.89259,1837.26713989259,166776.173129172,"Society"
-27,-130000,"AP0000063",2172437660.01322,2172.43766001322,166776.173129172,"Society"
-28,-131000,"AP0000071",2182042853.5201,2182.0428535201,166776.173129172,"Society"
-26,-132000,"AP0000047",2165068903.68375,2165.06890368375,166776.173129172,"Society"
-24,-133000,"AP0000006",2148719080.82519,2148.71908082519,166776.173129172,"Society"
-22,-134000,"AP0000072",2134201422.62986,2134.20142262986,166776.173129172,"Society"
-20,-135000,"AP0000040",2091608385.89743,2091.60838589743,166776.173129172,"Society"
-18,-136000,"AP0000073",2072572882.38186,2072.57288238186,166776.173129172,"Society"
-19,-137000,"AP0000046",2081169757.85171,2081.16975785171,166776.173129172,"Society"
-22,-138000,"AP0000072",2134201422.62986,2134.20142262986,166776.173129172,"Society"
-28,-139000,"AP0000071",2182042853.5201,2182.0428535201,166776.173129172,"Society"
-44,-140000,"AP0000074",2295363497.57991,2295.36349757991,166776.173129172,"Society"
0,0,"AP0000000",176054425.225577,176.054425225577,347.659812253548,"Socorro"
-1,-1000,"AP0000001",188821008.416528,188.821008416528,347.659812253548,"Socorro"
-2,-2000,"AP0000002",188821008.416528,188.821008416528,347.659812253548,"Socorro"
-3,-3000,"AP0000003",188821008.416528,188.821008416528,347.659812253548,"Socorro"
-3,-4000,"AP0000003",188821008.416528,188.821008416528,347.659812253548,"Socorro"
-3,-5000,"AP0000003",188821008.416528,188.821008416528,347.659812253548,"Socorro"
-4,-6000,"AP0000004",188821008.416528,188.821008416528,347.659812253548,"Socorro"
-4,-7000,"AP0000004",188821008.416528,188.821008416528,347.659812253548,"Socorro"
-11,-8000,"AP0000005",189226214.754637,189.226214754637,347.659812253548,"Socorro"
-24,-9000,"AP0000006",191860049.669004,191.860049669004,347.659812253548,"Socorro"
-38,-10000,"AP0000007",194898547.031677,194.898547031677,347.659812253548,"Socorro"
-52,-11000,"AP0000008",198950183.946015,198.950183946015,347.659812253548,"Socorro"
-65,-12000,"AP0000009",201989179.47886,201.98917947886,347.659812253548,"Socorro"
-76,-13000,"AP0000010",204825568.575693,204.825568575693,347.659812253548,"Socorro"
-85,-14000,"AP0000011",207459425.313488,207.459425313488,347.659812253548,"Socorro"
-93,-15000,"AP0000012",210092896.767519,210.092896767519,347.659812253548,"Socorro"
-102,-16000,"AP0000013",214144866.231688,214.144866231688,347.659812253548,"Socorro"
-109,-17000,"AP0000014",216576276.709129,216.576276709129,347.659812253548,"Socorro"
-116,-18000,"AP0000015",219007247.941403,219.007247941403,347.659812253548,"Socorro"
-121,-19000,"AP0000016",221235847.343713,221.235847343713,347.659812253548,"Socorro"
-123,-20000,"AP0000017",222046004.546739,222.046004546739,347.659812253548,"Socorro"
-122,-21000,"AP0000018",221640913.690413,221.640913690413,347.659812253548,"Socorro"
-118,-22000,"AP0000019",220020281.852085,220.020281852085,347.659812253548,"Socorro"
-112,-23000,"AP0000020",217791728.134948,217.791728134948,347.659812253548,"Socorro"
-105,-24000,"AP0000021",215157938.379843,215.157938379843,347.659812253548,"Socorro"
-98,-25000,"AP0000022",212524231.425684,212.524231425684,347.659812253548,"Socorro"
-93,-26000,"AP0000012",210092896.767519,210.092896767519,347.659812253548,"Socorro"
-90,-27000,"AP0000023",209282520.578275,209.282520578275,347.659812253548,"Socorro"
-87,-28000,"AP0000024",207662114.560151,207.662114560151,347.659812253548,"Socorro"
-84,-29000,"AP0000025",207256844.859898,207.256844859898,347.659812253548,"Socorro"
-81,-30000,"AP0000026",206446511.815361,206.446511815361,347.659812253548,"Socorro"
-79,-31000,"AP0000027",206041278.997416,206.041278997416,347.659812253548,"Socorro"
-76,-32000,"AP0000010",204825568.575693,204.825568575693,347.659812253548,"Socorro"
-75,-33000,"AP0000028",204825568.575693,204.825568575693,347.659812253548,"Socorro"
